alpha,betha,gamma,epoch,total_loss,CE_loss,epoch_js_clean_dist,epoch_js_toxic_dist,train_ppl,validation_loss,validation_ppl
1,1,3,0,-22037.003156787094,2.7992387371538228,55049.96471958167,62396.5692850713,16.43213283629286,3.4801029060861746,32.46306255069559
1,1,3,1,-25787.740441950195,3.9789615929314897,60554.28730735926,69151.5273971852,53.461490604300096,4.430749318282593,83.99433182414744
1,1,3,2,-27430.998246229392,4.721359986666837,62143.00299100096,71288.25181679674,112.32090377408625,5.09169028310353,162.66457900280474
1,1,3,3,-28191.753069098562,5.159600434325027,62527.684429531306,71926.64428873641,174.09487936791433,5.41090934852074,223.83503922415431
1,1,3,4,-28569.42265871624,5.347452384135214,62737.57662470405,72262.48689193485,210.0724317061694,5.523874376794975,250.60409341728308
1,1,2,0,-14570.155033321642,2.726649801758706,54603.11063946176,61889.55447307414,15.281604759613533,3.3822102828566076,29.43576062130616
1,1,2,1,-17190.222378112943,3.8988654803326575,60810.31956303709,69407.37833764468,49.346432837192495,4.357012372886019,78.0236801971564
1,1,2,2,-18376.8768853034,4.596381670380843,62027.11388136838,71217.85977507892,99.12499905096053,4.929320520955353,138.28551829822442
1,1,2,3,-18869.491406524026,4.889829857397062,62870.08711307436,72307.30091963346,132.93095490841833,5.129347366065227,168.9068477250839
1,1,2,4,-19145.701858996843,5.038846207434401,62999.583820644075,72574.95474449755,154.29189144953543,5.2533915019387685,191.2136715414254
